model,dataset,alpha,score_function,marginal_coverage,marginal_avg_set_size,marginal_disparity,gc_coverage,gc_avg_set_size,gc_disparity,gc_disparity_all,fair_coverage,fair_avg_set_size,fair_disparity,fair_disparity_all,selected_lambda
bert_hatexplain,HateXplain,0.0500,softmax,0.9542,2.2829,0.0418,0.9584,2.3489,0.0500,0.0500,0.9542,2.2829,0.0418,0.1500,0.0000
bert_hatexplain,HateXplain,0.0500,aps,1.0000,3.0000,0.0500,1.0000,3.0000,0.0500,0.0500,1.0000,3.0000,0.0500,0.0500,0.9000
bert_hatexplain,HateXplain,0.1000,softmax,0.9017,1.8929,0.1174,0.9095,1.9626,0.0508,0.1000,0.9017,1.8965,0.1029,0.1029,0.2000
bert_hatexplain,HateXplain,0.1000,aps,1.0000,3.0000,0.1000,0.9995,2.9158,0.1000,0.1000,0.9995,2.9158,0.1000,0.1000,1.0000
bert_hatexplain,HateXplain,0.1500,softmax,0.8554,1.6396,0.1109,0.8622,1.6828,0.0674,0.1500,0.8487,1.6178,0.1109,0.2500,0.1000
bert_hatexplain,HateXplain,0.1500,aps,0.9896,2.7031,0.1500,0.9912,2.7493,0.1500,0.1500,0.9896,2.7031,0.1500,0.1500,0.0000
bert_hatexplain,HateXplain,0.2000,softmax,0.8014,1.3947,0.1188,0.8102,1.4280,0.0784,0.2000,0.8040,1.3853,0.0754,0.4000,0.7000
bert_hatexplain,HateXplain,0.2000,aps,0.9823,2.6032,0.2000,0.9834,2.6032,0.2000,0.2000,0.9823,2.6006,0.1974,0.2000,0.8000
hatebert_hatexplain,HateXplain,0.0500,softmax,0.9558,2.3505,0.0372,0.9610,2.3978,0.0500,0.0500,0.9568,2.3521,0.0346,0.3500,0.1000
hatebert_hatexplain,HateXplain,0.0500,aps,1.0000,3.0000,0.0500,1.0000,3.0000,0.0500,0.0500,1.0000,3.0000,0.0500,0.0500,0.0000
hatebert_hatexplain,HateXplain,0.1000,softmax,0.9059,1.8471,0.0615,0.9121,1.9527,0.0459,0.3000,0.9017,1.8336,0.0449,0.3000,0.1000
hatebert_hatexplain,HateXplain,0.1000,aps,1.0000,3.0000,0.1000,1.0000,2.8840,0.1000,0.1000,1.0000,2.8840,0.1000,0.1000,1.0000
hatebert_hatexplain,HateXplain,0.1500,softmax,0.8617,1.5616,0.0654,0.8627,1.6147,0.0689,0.2500,0.8549,1.5289,0.0419,0.2500,0.2000
hatebert_hatexplain,HateXplain,0.1500,aps,0.9875,2.7285,0.1500,0.9932,2.7842,0.1500,0.1500,0.9875,2.7285,0.1500,0.1500,0.0000
hatebert_hatexplain,HateXplain,0.2000,softmax,0.7998,1.3255,0.0718,0.8118,1.3864,0.0784,0.2000,0.7998,1.3255,0.0718,0.2545,0.0000
hatebert_hatexplain,HateXplain,0.2000,aps,0.9745,2.5710,0.2000,0.9797,2.5996,0.2000,0.2000,0.9745,2.5710,0.2000,0.2000,0.0000
