Group,Marginal_Coverage,Marginal_SetSize,GroupCond_Coverage,GroupCond_SetSize,FairCP_Coverage,FairCP_SetSize,GroupCond_N
African,0.8756,1.7108,0.9274,2.0507,0.9044,1.8514,868
Arab,0.8546,2.0861,0.9169,2.4273,0.8872,2.2878,337
Asian,0.8333,2.1984,0.9127,2.6667,0.8571,2.3968,126
Bisexual,1.0000,2.0000,1.0000,2.0000,1.0000,2.0000,3
Buddhism,1.0000,2.5000,1.0000,2.5000,1.0000,2.5000,2
Caucasian,0.9003,2.1063,0.9302,2.2824,0.9103,2.1694,301
Christian,0.9062,2.1250,0.9688,2.6250,0.9062,2.2500,32
Disability,0.9259,1.8889,0.9259,1.9630,0.9259,1.8889,27
Economic,0.9000,2.0000,0.9000,2.0000,0.9000,2.0000,10
Heterosexual,0.9643,1.9286,0.9643,2.1786,0.9643,2.0000,28
Hindu,0.8571,2.0000,0.9286,2.2143,0.8571,2.1429,14
Hispanic,0.8425,2.1811,0.9606,2.6299,0.9134,2.4016,127
Homosexual,0.9112,2.1205,0.9323,2.2579,0.9239,2.1818,473
Indian,0.7857,2.1429,0.8571,2.3571,0.8571,2.2857,14
Indigenous,0.9565,1.6087,1.0000,2.2609,1.0000,1.8696,23
Islam,0.8571,2.2027,0.9136,2.4801,0.8937,2.3804,602
Jewish,0.8632,1.5940,0.9231,1.8868,0.8996,1.7521,468
Men,0.8971,2.1543,0.9357,2.3312,0.9260,2.2283,311
Minority,0.9412,1.6765,0.9706,2.2647,0.9706,2.0000,34
Nonreligious,0.8462,1.7692,0.8462,2.0769,0.8462,2.0000,13
Other,0.9020,2.1933,0.9244,2.3067,0.9146,2.2633,714
Refugee,0.9128,2.3302,0.9502,2.4891,0.9346,2.4361,321
Women,0.9045,2.1578,0.9363,2.2838,0.9244,2.2135,754
unknown,0.9781,2.0839,0.9045,1.2116,0.9484,1.6413,775
